snp_index,position,Diversity_Hawaiian-population,Diversity_non-Hawaiian_population,CHROM,Fst
70188,9693867,4.07E-05,8.93E-05,II,0.150594193
70191,9695013,1.03E-04,1.07E-04,II,0.120201456
70195,9695539,2.35E-04,1.15E-04,II,0.13459489
70196,9695662,2.35E-04,1.17E-04,II,0.133774943
70199,9696619,3.10E-04,1.33E-04,II,0.15790605
70203,9696851,3.57E-04,1.86E-04,II,0.148859169
70205,9697064,3.75E-04,2.00E-04,II,0.141718177
70209,9698628,4.70E-04,2.60E-04,II,0.139540639
70213,9699037,5.15E-04,2.99E-04,II,0.128090122
70220,9699606,6.59E-04,3.07E-04,II,0.131139291
70227,9701191,6.69E-04,2.26E-04,II,0.124759627
70230,9701916,6.34E-04,2.09E-04,II,0.130192585
70240,9702846,5.70E-04,2.08E-04,II,0.120780941
70244,9703187,6.17E-04,2.35E-04,II,0.116766032
70252,9703995,6.62E-04,2.19E-04,II,0.100676014
70261,9704751,7.14E-04,1.88E-04,II,0.100114739
70267,9706366,7.59E-04,1.85E-04,II,0.101608547
70272,9706756,6.64E-04,1.25E-04,II,0.095472261
70277,9707113,7.04E-04,1.30E-04,II,0.100519836
70285,9708216,6.51E-04,1.93E-04,II,0.076534149
70291,9708948,6.05E-04,1.86E-04,II,0.076226709
70291,9708948,5.77E-04,1.84E-04,II,0.07396214
70297,9709520,5.10E-04,1.78E-04,II,0.073504877
70302,9710001,6.11E-04,2.10E-04,II,0.110545348
70312,9712271,6.50E-04,2.82E-04,II,0.152931939
70317,9713329,5.51E-04,2.61E-04,II,0.160123055
70328,9718356,7.88E-04,3.09E-04,II,0.217022266
70333,9720240,9.11E-04,4.02E-04,II,0.196733042
70337,9720483,8.62E-04,3.70E-04,II,0.202423725
70345,9721333,8.85E-04,3.90E-04,II,0.225922182
70347,9721340,9.91E-04,4.91E-04,II,0.216402461
70355,9721848,0.001170123,6.00E-04,II,0.20759068
70361,9723246,0.001277592,6.12E-04,II,0.202780728
70365,9723365,0.00113357,5.51E-04,II,0.202278587
70370,9723677,9.75E-04,4.80E-04,II,0.192289271
70373,9724333,0.001036826,4.99E-04,II,0.196163666
70385,9725473,8.57E-04,4.87E-04,II,0.158325749
70396,9726603,8.49E-04,4.30E-04,II,0.174809451
70405,9727021,9.29E-04,4.43E-04,II,0.168180576
70419,9730638,0.001164213,4.15E-04,II,0.16594879
70424,9730905,0.001097456,3.37E-04,II,0.163758457
70440,9732226,0.001151737,3.45E-04,II,0.169630964
70447,9732489,0.001061341,3.74E-04,II,0.170479789
70451,9733216,0.001189166,4.17E-04,II,0.172948698
70458,9733622,0.001448755,5.40E-04,II,0.164055491
70468,9734338,0.001525363,6.30E-04,II,0.148505105
70480,9735486,0.001578331,6.10E-04,II,0.156109282
70489,9736981,0.001563885,5.79E-04,II,0.151674147
70495,9737477,0.001448536,5.55E-04,II,0.157583164
70504,9738635,0.00109461,4.90E-04,II,0.147980981
70506,9738884,0.001055212,4.68E-04,II,0.151310926
70514,9739299,8.22E-04,3.50E-04,II,0.140834995
70518,9739510,8.91E-04,3.86E-04,II,0.130178148
70525,9740208,8.91E-04,3.57E-04,II,0.13030046
70535,9740863,7.51E-04,2.77E-04,II,0.136114971
70548,9747343,8.60E-04,2.63E-04,II,0.159632439
70555,9748155,6.86E-04,2.35E-04,II,0.140368794
70560,9748538,6.81E-04,2.41E-04,II,0.153964277
70566,9749411,8.27E-04,3.10E-04,II,0.156596728
70570,9749468,8.73E-04,3.25E-04,II,0.152712855
70575,9751849,0.001035513,3.76E-04,II,0.145587946
70581,9752237,0.00118632,4.50E-04,II,0.152363437
70587,9752610,0.001185445,3.82E-04,II,0.170942912
70597,9753704,0.0011629,4.17E-04,II,0.166143733
70605,9754608,0.001222654,3.81E-04,II,0.171347038
70616,9755570,0.001098769,3.34E-04,II,0.166112017
70621,9755837,0.001223092,3.42E-04,II,0.162761053
70629,9757224,0.001271683,3.64E-04,II,0.156082682
70640,9757927,0.001273653,3.46E-04,II,0.165253041
70649,9758974,0.001298824,3.35E-04,II,0.165402993
70660,9760280,0.001299042,3.57E-04,II,0.165163134
70671,9761084,0.001258988,3.33E-04,II,0.158831182
70678,9761510,0.001276936,3.31E-04,II,0.157172783
70688,9762894,0.001275841,2.85E-04,II,0.153450718
70699,9763982,0.001242791,3.07E-04,II,0.149991172
70712,9765008,0.001300575,2.82E-04,II,0.158714642
70721,9765973,0.001304952,3.17E-04,II,0.15547404
70733,9767525,0.001370397,3.67E-04,II,0.165476229
70745,9768741,0.001313707,3.55E-04,II,0.152894104
70755,9769156,0.001314583,4.00E-04,II,0.149576895
70771,9770532,0.001481806,3.57E-04,II,0.170410425
70782,9771518,0.001559289,4.31E-04,II,0.164998815
70791,9772127,0.001565417,4.66E-04,II,0.164679803
70800,9772982,0.001660192,5.98E-04,II,0.160956923
70811,9773968,0.001595185,5.71E-04,II,0.158368836
70826,9774793,0.001738331,6.60E-04,II,0.153607186
70835,9775126,0.0017287,6.32E-04,II,0.154281143
70844,9776012,0.001600438,5.92E-04,II,0.142758345
70857,9777351,0.001668071,5.65E-04,II,0.141910181
70868,9778588,0.001824788,5.39E-04,II,0.154917946
70880,9779475,0.001557975,5.11E-04,II,0.141054356
70890,9780337,0.001435841,3.95E-04,II,0.14300497
70898,9781530,0.001393598,3.56E-04,II,0.134552001
70908,9782571,0.001320274,2.32E-04,II,0.137843212
70921,9783791,0.001399945,2.40E-04,II,0.133199145
70932,9785334,0.001280657,1.68E-04,II,0.139509595
70938,9786567,0.001166183,1.54E-04,II,0.143303103
70945,9787264,0.001278249,1.63E-04,II,0.141639209
70958,9788327,0.001257018,1.58E-04,II,0.142527328
70970,9789024,0.001188728,2.22E-04,II,0.132359125
70974,9789433,0.001142982,2.24E-04,II,0.130792073
70981,9791161,0.001143858,3.19E-04,II,0.142884122
70988,9791806,0.00121762,3.23E-04,II,0.143126483
70999,9792800,0.001266648,3.37E-04,II,0.148796618
71013,9793642,0.001190041,3.71E-04,II,0.161099947
71022,9795602,0.001042955,3.51E-04,II,0.151756442
71027,9796056,0.001091984,3.86E-04,II,0.150407212
71035,9796946,9.91E-04,3.53E-04,II,0.155159602
71045,9797767,9.67E-04,4.02E-04,II,0.151013316
71056,9798711,8.65E-04,3.19E-04,II,0.142304708
71063,9799413,8.92E-04,4.12E-04,II,0.154237511
71071,9800678,9.29E-04,3.35E-04,II,0.149235663
71080,9801671,9.48E-04,3.87E-04,II,0.151548554
71091,9803461,9.37E-04,3.73E-04,II,0.143121561
71096,9803790,8.53E-04,3.27E-04,II,0.135034361
71100,9804677,7.95E-04,3.08E-04,II,0.140319298
71105,9804808,7.41E-04,2.74E-04,II,0.141888168
71108,9805090,6.48E-04,2.54E-04,II,0.146927136
71112,9805642,5.35E-04,1.98E-04,II,0.159515204
71116,9805946,4.76E-04,1.94E-04,II,0.166367704
71121,9806594,4.32E-04,9.62E-05,II,0.146659772
71126,9807349,3.28E-04,7.15E-05,II,0.132488822
71130,9807570,1.68E-04,1.35E-05,II,0.11604005
71141,9825830,1.62E-04,4.25E-05,II,0.161143179
71148,9826031,2.49E-04,6.74E-05,II,0.133852149
71153,9826157,3.41E-04,8.75E-05,II,0.149053404
71160,9826827,4.87E-04,1.66E-04,II,0.124226183
71165,9827494,6.57E-04,1.71E-04,II,0.13573929
71172,9828019,7.96E-04,1.88E-04,II,0.146948033
71178,9828335,9.57E-04,2.46E-04,II,0.147655968
71179,9828418,9.57E-04,2.68E-04,II,0.146768188
71180,9828532,9.92E-04,2.68E-04,II,0.147091206
71187,9829143,0.00120186,3.27E-04,II,0.15856779
71197,9830085,0.001122845,3.65E-04,II,0.16068672
71207,9830838,0.0010771,3.54E-04,II,0.163677349
71217,9831872,0.00112197,4.27E-04,II,0.16133962
71229,9834339,0.001077975,4.05E-04,II,0.165268784
71236,9834815,9.93E-04,4.47E-04,II,0.15535474
71251,9836786,0.001119124,5.35E-04,II,0.139736429
71260,9837731,0.001044487,5.25E-04,II,0.142129524
71266,9838401,0.001107086,5.11E-04,II,0.139585396
71271,9838825,0.001176689,5.32E-04,II,0.141694395
71277,9839950,9.67E-04,4.72E-04,II,0.127946355
71281,9840116,8.84E-04,3.92E-04,II,0.120730825
71285,9840396,8.43E-04,3.79E-04,II,0.122465332
71290,9840645,7.06E-04,2.85E-04,II,0.113058786
71295,9841026,6.04E-04,2.33E-04,II,0.119167628
71298,9841517,5.19E-04,1.86E-04,II,0.129144036
71306,9842598,2.54E-04,8.08E-05,II,0.154704947
71311,9843081,2.32E-04,3.65E-05,II,0.129816722
71315,9843465,1.69E-04,2.82E-05,II,0.151288559
71319,9851556,6.44E-05,7.62E-06,II,0.11176335
71319,9851556,6.44E-05,7.62E-06,II,0.11176335
71322,9855786,1.38E-04,1.10E-05,II,0.108569236
71328,9856064,2.69E-04,3.78E-05,II,0.091162221
71330,9856107,2.96E-04,4.54E-05,II,0.095100416
71330,9856107,2.96E-04,4.11E-05,II,0.095971754
71330,9856107,2.96E-04,4.11E-05,II,0.095971754
71330,9856107,2.96E-04,4.11E-05,II,0.095971754
71332,9856158,2.32E-04,3.77E-05,II,0.090544654
71333,9856169,2.59E-04,3.94E-05,II,0.094721973
71333,9856169,2.59E-04,3.94E-05,II,0.094721973
71335,9856185,2.73E-04,4.28E-05,II,0.090518272
71343,9857318,3.57E-04,4.71E-05,II,0.140741836
71356,9865455,3.90E-04,4.60E-05,II,0.174452679
71360,9866159,4.15E-04,4.26E-05,II,0.171104878
71363,9866402,5.13E-04,1.04E-04,II,0.163171178
71368,9866975,6.52E-04,1.29E-04,II,0.163762496
71372,9867299,7.89E-04,1.39E-04,II,0.154862348
71377,9868234,8.60E-04,1.48E-04,II,0.150503241
71383,9868991,9.16E-04,1.59E-04,II,0.145108904
71390,9869675,0.001142544,1.92E-04,II,0.152824051
71398,9870649,0.001271026,2.91E-04,II,0.150866033
71409,9871776,0.001325089,3.24E-04,II,0.155749867
71422,9873019,0.001320055,4.04E-04,II,0.160714023
71429,9873523,0.001413735,4.13E-04,II,0.175083572
71436,9874033,0.001415486,3.58E-04,II,0.175412368
71443,9874583,0.001311737,3.34E-04,II,0.174194598
71452,9875155,0.001293352,3.44E-04,II,0.17951796
71459,9875909,0.001306265,3.44E-04,II,0.179515146
71465,9876640,0.001247606,3.38E-04,II,0.182434525
71478,9877592,0.001123502,3.27E-04,II,0.173159032
71487,9878694,0.001126785,2.34E-04,II,0.180250267
71499,9880720,9.92E-04,2.39E-04,II,0.163601239
71513,9883582,9.01E-04,1.58E-04,II,0.147890135
71520,9883784,8.61E-04,1.64E-04,II,0.131705582
71527,9884469,8.16E-04,1.62E-04,II,0.128722993
71531,9885490,7.99E-04,1.63E-04,II,0.129411938
71537,9885852,6.89E-04,1.45E-04,II,0.121046884
71545,9886420,6.86E-04,1.80E-04,II,0.119336407
71553,9887033,7.78E-04,2.10E-04,II,0.11353654
71564,9888792,7.80E-04,1.96E-04,II,0.120599092
71573,9891249,7.57E-04,2.16E-04,II,0.123334275
71584,9892246,7.43E-04,2.72E-04,II,0.146064108
71594,9892721,7.24E-04,2.49E-04,II,0.14845975
71607,9894054,7.63E-04,2.72E-04,II,0.134183379
71615,9894694,8.51E-04,3.20E-04,II,0.1448115
71622,9895435,9.52E-04,3.27E-04,II,0.154420562
71629,9895885,0.00104974,3.41E-04,II,0.151737532
71639,9897211,0.001109056,3.09E-04,II,0.157192446
71649,9897645,0.001055212,2.73E-04,II,0.165877909
71657,9898203,0.001052804,2.86E-04,II,0.173453492
71663,9898914,9.35E-04,2.60E-04,II,0.170611059
71674,9899921,0.001004213,1.70E-04,II,0.154971645
71682,9900674,0.001089138,1.89E-04,II,0.152255403
71698,9902430,0.001066375,2.00E-04,II,0.163529531
71702,9903228,9.23E-04,1.47E-04,II,0.160837527
71714,9905644,9.59E-04,1.98E-04,II,0.162111522
71725,9906480,0.001002462,2.33E-04,II,0.171697002
71731,9907389,8.68E-04,2.36E-04,II,0.170648648
71735,9907610,8.57E-04,2.43E-04,II,0.168209345
71739,9907943,7.55E-04,2.21E-04,II,0.162869106
71739,9907943,7.50E-04,2.20E-04,II,0.163764232
71744,9909551,6.18E-04,2.08E-04,II,0.171960065
71749,9909789,4.85E-04,1.87E-04,II,0.186334227
71755,9910249,3.63E-04,1.34E-04,II,0.179178952
71755,9910249,3.63E-04,1.34E-04,II,0.179178952
71764,9910979,2.84E-04,8.92E-05,II,0.172623928
71773,9919726,1.99E-04,4.42E-05,II,0.132427202
71778,9920252,2.83E-04,5.41E-05,II,0.170216111
71783,9921050,2.74E-04,4.91E-05,II,0.168295161
71788,9921392,3.89E-04,6.02E-05,II,0.156270073
71793,9922354,4.83E-04,7.52E-05,II,0.168009372
71797,9923167,5.59E-04,8.62E-05,II,0.159622439
71804,9923762,7.42E-04,2.10E-04,II,0.207814864
71808,9924240,8.44E-04,2.24E-04,II,0.19671762
71811,9924500,9.69E-04,2.66E-04,II,0.199197499
71816,9924947,0.001014282,2.94E-04,II,0.217862055
71822,9925892,0.001028509,3.25E-04,II,0.226817961
71829,9926470,0.00101275,3.34E-04,II,0.216744228
71837,9926852,0.001039015,3.40E-04,II,0.214938209
71845,9927900,0.001015376,3.39E-04,II,0.214796119
71855,9929483,9.76E-04,3.32E-04,II,0.209259649
71864,9931246,0.001030698,4.05E-04,II,0.222845322
71876,9932668,0.001017346,4.38E-04,II,0.231473245
71886,9934236,0.001013406,4.89E-04,II,0.233066463
71889,9934379,8.88E-04,4.48E-04,II,0.235299767
71892,9934613,7.68E-04,4.04E-04,II,0.219451083
71894,9935074,6.87E-04,3.68E-04,II,0.215596467
71898,9935436,6.15E-04,3.35E-04,II,0.229017833
71902,9935646,5.44E-04,3.24E-04,II,0.240660966
71906,9936446,4.53E-04,3.14E-04,II,0.256399034
71912,9936762,4.87E-04,3.09E-04,II,0.255008854
71919,9937194,3.65E-04,2.45E-04,II,0.245649935
71924,9937693,1.96E-04,8.84E-05,II,0.136481501
71935,9947512,2.74E-04,3.11E-05,II,0.129066698
71940,9947755,4.84E-04,9.01E-05,II,0.1197245
71942,9947872,5.42E-04,1.23E-04,II,0.126227728
71945,9948066,6.18E-04,1.25E-04,II,0.12612862
71951,9948566,8.00E-04,2.16E-04,II,0.142966871
71959,9950027,0.001021943,3.31E-04,II,0.168904213
71967,9951185,0.001194637,3.50E-04,II,0.171991012
71977,9952114,0.00128591,4.04E-04,II,0.188157677
71983,9952429,0.001342818,4.16E-04,II,0.185054572
71990,9952797,0.001465609,5.31E-04,II,0.178521704
72000,9953600,0.001359891,5.70E-04,II,0.179550378
72005,9953881,0.001149986,5.11E-04,II,0.189948359
72007,9953948,0.001091765,4.78E-04,II,0.191361704
72012,9954373,0.00102435,5.44E-04,II,0.192642857
72020,9954751,9.13E-04,4.58E-04,II,0.19920938
72031,9955810,7.18E-04,3.55E-04,II,0.18060802
72045,9956877,7.58E-04,4.19E-04,II,0.160866555
72060,9961057,7.18E-04,4.08E-04,II,0.124248558
72068,9962800,6.66E-04,3.86E-04,II,0.125242848
72079,9963774,6.19E-04,2.75E-04,II,0.120818782
72083,9964118,5.54E-04,2.27E-04,II,0.117432863
72088,9964421,6.73E-04,2.64E-04,II,0.113995049
72091,9964675,7.16E-04,2.88E-04,II,0.110293385
72098,9965084,7.92E-04,2.34E-04,II,0.103737595
72105,9966087,7.93E-04,2.82E-04,II,0.096503328
72112,9968127,8.11E-04,2.86E-04,II,0.095180707
72124,9969412,6.65E-04,2.09E-04,II,0.086938325
72135,9970713,5.92E-04,2.37E-04,II,0.100286794
72143,9971695,7.28E-04,2.54E-04,II,0.116948707
72154,9972891,8.46E-04,3.50E-04,II,0.141925454
72161,9973692,0.001082791,5.32E-04,II,0.158504736
72171,9974721,0.001046676,5.59E-04,II,0.166189671
72177,9975434,0.001057839,5.65E-04,II,0.165597469
72188,9976125,0.001064186,6.40E-04,II,0.168253525
72196,9976755,0.001115622,5.96E-04,II,0.1701135
72202,9977350,0.001070971,5.83E-04,II,0.174381471
72212,9978186,0.001100082,6.40E-04,II,0.177276852
72216,9978439,0.001061778,6.13E-04,II,0.175533218
72229,9980177,0.001043611,6.46E-04,II,0.172098592
72239,9980982,9.12E-04,5.53E-04,II,0.164227273
72248,9982060,7.64E-04,3.90E-04,II,0.156315969
72256,9983578,7.67E-04,4.05E-04,II,0.150428196
72263,9985115,9.38E-04,4.31E-04,II,0.186833206
72274,9985922,0.001012312,4.26E-04,II,0.171787964
72283,9987546,1.00E-03,4.25E-04,II,0.17259442
72290,9988613,0.001111026,5.15E-04,II,0.183658158
72298,9989942,0.001156334,4.80E-04,II,0.187948858
72301,9990133,0.001188509,4.41E-04,II,0.188618386
72311,9991025,0.001074911,4.20E-04,II,0.191260207
72317,9991695,0.001177784,4.80E-04,II,0.184975631
72327,9992442,0.001281532,5.24E-04,II,0.167226741
72336,9993816,0.001431902,5.15E-04,II,0.168559394
72344,9995101,0.001278249,4.75E-04,II,0.143099736
72351,9996607,0.001121751,4.35E-04,II,0.161241834
72360,9997651,0.001195513,4.40E-04,II,0.16757823
72368,9997925,0.00116093,3.69E-04,II,0.151420993
72376,9998381,0.001141231,3.81E-04,II,0.150654221
72383,9999085,0.001220027,4.38E-04,II,0.151433795
72393,10001033,0.001373242,5.38E-04,II,0.165167429
72404,10002372,0.001368646,5.45E-04,II,0.173718015
72416,10004333,0.001264022,5.05E-04,II,0.183036521
72430,10005393,0.00126643,4.85E-04,II,0.193398462
72435,10005585,0.001264897,5.23E-04,II,0.198680597
72440,10006008,0.001260301,4.91E-04,II,0.194281056
72448,10006716,0.00117472,5.47E-04,II,0.175251244
72454,10006942,0.001190917,5.26E-04,II,0.176316519
72463,10007889,0.001204049,5.28E-04,II,0.178267814
72473,10008541,0.001193543,4.82E-04,II,0.183811624
72485,10010955,0.001195951,3.52E-04,II,0.182574179
72498,10012231,0.001179973,3.02E-04,II,0.177962778
72506,10013436,0.00120383,2.89E-04,II,0.193732611
72513,10014025,9.65E-04,2.38E-04,II,0.186790106
72519,10014506,0.001023256,2.42E-04,II,0.165252324
72523,10014909,0.001046238,2.33E-04,II,0.166060096
72536,10016331,0.001321587,2.81E-04,II,0.197061001
72548,10017881,0.001434966,3.15E-04,II,0.208849569
72553,10019794,0.001313269,2.75E-04,II,0.207806329
72564,10021171,0.001248919,2.62E-04,II,0.203330946
72574,10021583,0.001147141,2.77E-04,II,0.190925327
72581,10022455,0.001029603,2.59E-04,II,0.192436477
72591,10022969,0.001118249,3.21E-04,II,0.16879178
72598,10024636,0.001221341,3.41E-04,II,0.162694973
72607,10025159,0.001192886,3.46E-04,II,0.174063303
72612,10025350,0.001275185,3.50E-04,II,0.179824929
72625,10027436,9.53E-04,2.38E-04,II,0.153726921
72636,10028142,8.54E-04,2.10E-04,II,0.135784947
72636,10028142,8.41E-04,2.10E-04,II,0.136667385
72642,10028673,7.82E-04,2.03E-04,II,0.140389908
72652,10029449,7.85E-04,2.39E-04,II,0.151151433
72653,10029536,7.58E-04,2.35E-04,II,0.152420569
72660,10030041,5.52E-04,1.64E-04,II,0.166339192
72671,10031554,6.41E-04,2.20E-04,II,0.185892047
72679,10034980,6.29E-04,2.11E-04,II,0.177098895
72689,10038546,7.33E-04,2.47E-04,II,0.170205684
72696,10039555,7.83E-04,2.46E-04,II,0.184296276
72706,10040201,9.18E-04,3.17E-04,II,0.194874592
72710,10040732,0.001105554,3.74E-04,II,0.187746814
72712,10040814,0.001159179,3.97E-04,II,0.187457638
72721,10042176,0.001311956,3.87E-04,II,0.188013999
72728,10042582,0.001415486,3.93E-04,II,0.183196119
72733,10042994,0.001530616,4.52E-04,II,0.184639711
72742,10043977,0.001437811,4.14E-04,II,0.186202903
72749,10045273,0.001442189,3.86E-04,II,0.193399013
72763,10046507,0.001393379,3.96E-04,II,0.192493633
72774,10047472,0.001411765,4.83E-04,II,0.186268092
72787,10048473,0.001246731,4.14E-04,II,0.170091846
72796,10049580,0.001197045,4.28E-04,II,0.172009879
72802,10050192,0.001273434,4.17E-04,II,0.16821086
72811,10050640,0.001135103,3.96E-04,II,0.157324813
72824,10051658,0.00115896,4.29E-04,II,0.153241829
72834,10052577,0.001171436,4.63E-04,II,0.151763379
72844,10053308,0.001177127,5.16E-04,II,0.141073018
72851,10054248,0.001126785,4.98E-04,II,0.136669274
72862,10055849,0.001107524,5.20E-04,II,0.144146834
72876,10056954,0.0010771,4.42E-04,II,0.138358152
72884,10057728,0.001032668,4.35E-04,II,0.141409429
72890,10058315,9.25E-04,3.76E-04,II,0.135051787
72899,10059123,9.01E-04,4.12E-04,II,0.13922483
72907,10060729,9.71E-04,4.08E-04,II,0.145970821
72919,10061815,9.32E-04,4.00E-04,II,0.145704063
72929,10063677,8.84E-04,3.79E-04,II,0.139902213
72937,10064682,7.98E-04,3.00E-04,II,0.140916408
72944,10065282,8.18E-04,3.03E-04,II,0.138937732
72954,10066322,8.66E-04,3.36E-04,II,0.153159793
72963,10067271,9.17E-04,3.34E-04,II,0.174484007
72967,10067695,9.38E-04,3.60E-04,II,0.175419426
72970,10067936,9.07E-04,3.77E-04,II,0.179204449
72974,10068466,7.97E-04,3.30E-04,II,0.18161408
72984,10069783,7.33E-04,3.76E-04,II,0.181709837
72993,10070756,7.64E-04,3.52E-04,II,0.192125337
73006,10072481,9.09E-04,4.12E-04,II,0.211175735
73013,10075373,9.67E-04,4.52E-04,II,0.213747913
73021,10076333,9.77E-04,5.13E-04,II,0.218384437
73032,10077358,9.65E-04,4.81E-04,II,0.220595368
73039,10077834,8.98E-04,4.77E-04,II,0.215038095
73045,10078217,9.55E-04,4.63E-04,II,0.227091789
73051,10079238,0.001121751,4.88E-04,II,0.214837862
73055,10079506,0.001204268,5.31E-04,II,0.20708999
73066,10080852,0.001311956,5.30E-04,II,0.217312185
73075,10081978,0.001327497,5.95E-04,II,0.209957744
73090,10083919,0.001257456,5.26E-04,II,0.193312112
73096,10084399,0.001211491,4.82E-04,II,0.189756845
73106,10085359,0.001234254,4.24E-04,II,0.182636721
73115,10086058,0.001144295,3.57E-04,II,0.171571202
73119,10086262,0.001070096,3.49E-04,II,0.167424929
73129,10087175,0.001056525,3.84E-04,II,0.151735886
73134,10087378,8.90E-04,0.000330367,II,0.157331857
73138,10087894,8.07E-04,0.000287216,II,0.164202427
73145,10089274,6.04E-04,2.14E-04,II,0.135893572
73150,10089499,4.69E-04,1.44E-04,II,0.146465846
73157,10090169,3.14E-04,8.09E-05,II,0.157400237
73159,10090230,2.83E-04,7.18E-05,II,0.169145144
73165,10092101,1.89E-04,5.83E-05,II,0.195325038
73174,10092568,1.40E-04,6.17E-05,II,0.136302842
73176,10100023,2.09E-04,6.59E-05,II,0.174341132
73185,10101278,1.21E-04,7.85E-05,II,0.159541011
73189,10102283,1.57E-04,1.36E-04,II,0.169387194
73197,10103156,2.87E-04,1.90E-04,II,0.146307595
73203,10104092,4.18E-04,2.11E-04,II,0.129965837
73208,10104481,5.54E-04,2.21E-04,II,0.145650143
73215,10104885,7.60E-04,3.26E-04,II,0.138603527
73223,10105503,9.44E-04,3.39E-04,II,0.145547151
73226,10105712,0.001014938,3.55E-04,II,0.152509218
73235,10106709,0.001054774,3.81E-04,II,0.149548594
73240,10106925,0.001051053,4.20E-04,II,0.137354409
73248,10107355,0.001223529,4.74E-04,II,0.138643554
73255,10107918,0.001222873,4.75E-04,II,0.139805638
73266,10108831,0.001144733,4.45E-04,II,0.138397984
73276,10109546,0.001068345,4.47E-04,II,0.143797391
73285,10110968,0.001053242,4.99E-04,II,0.146089287
73296,10112451,9.13E-04,4.25E-04,II,0.143623393
73308,10114023,8.22E-04,4.14E-04,II,0.134838959
73316,10115268,8.75E-04,4.29E-04,II,0.133747134
73325,10116458,9.79E-04,4.04E-04,II,0.146730201
73334,10117351,0.001010123,4.27E-04,II,0.141773274
73348,10119418,0.001031573,3.69E-04,II,0.158604945
73350,10119715,9.96E-04,3.10E-04,II,0.154854796
73357,10120189,0.001032449,2.89E-04,II,0.157954066
73369,10121314,0.001163119,3.21E-04,II,0.16961376
73374,10121598,0.001042517,2.60E-04,II,0.163266651
73378,10122029,9.77E-04,2.29E-04,II,0.173245405
73384,10122485,9.64E-04,2.35E-04,II,0.185415327
73393,10122985,9.20E-04,2.31E-04,II,0.177017763
73406,10125297,9.30E-04,2.29E-04,II,0.187545752
73417,10125823,0.001049302,2.69E-04,II,0.198609734
73433,10130079,0.001023475,2.53E-04,II,0.199170098
73438,10130419,0.001128974,2.59E-04,II,0.200838772
73447,10131123,0.001269056,2.66E-04,II,0.204577762
73459,10132518,0.001149986,2.26E-04,II,0.206290681
73459,10132518,0.001149986,2.26E-04,II,0.206290681
73459,10132518,0.001149986,2.26E-04,II,0.206290681
73462,10132552,0.001069439,2.16E-04,II,0.201758117
73466,10132707,9.90E-04,1.90E-04,II,0.210133034
73473,10133079,7.91E-04,1.79E-04,II,0.203348781
73479,10133738,5.77E-04,7.38E-05,II,0.2179982
73486,10134400,3.99E-04,2.96E-05,II,0.213303085
73491,10134919,2.94E-04,2.37E-05,II,0.211115713
73497,10135203,6.61E-05,1.35E-05,II,0.267743852
73505,10302366,8.86E-05,5.24E-05,II,0.04486227
73508,10302542,1.25E-04,5.75E-05,II,0.057599313
73512,10303149,2.96E-04,1.51E-04,II,0.10242187
73517,10304092,3.36E-04,2.03E-04,II,0.118563933
73521,10304571,4.58E-04,2.57E-04,II,0.104211825
73523,10304816,4.98E-04,2.59E-04,II,0.106121236
73527,10305101,5.56E-04,3.04E-04,II,0.119357785
73529,10305461,6.33E-04,3.07E-04,II,0.119204782
73530,10305644,6.79E-04,3.15E-04,II,0.119636626
73535,10306107,8.25E-04,3.18E-04,II,0.134300524
73542,10306993,7.91E-04,2.70E-04,II,0.144496148
73547,10308164,7.93E-04,2.76E-04,II,0.142305356
73556,10309434,7.28E-04,2.47E-04,II,0.164670703
73564,10311542,7.72E-04,2.47E-04,II,0.152807332
73575,10313590,7.99E-04,2.54E-04,II,0.157435436
73583,10314306,8.43E-04,2.58E-04,II,0.153263585
73590,10315515,8.53E-04,2.21E-04,II,0.142691134
73596,10316215,8.46E-04,3.23E-04,II,0.141561587
73603,10316632,9.05E-04,3.64E-04,II,0.14787788
73611,10317105,7.99E-04,3.85E-04,II,0.131305922
73615,10317521,7.66E-04,3.81E-04,II,0.129960394
73622,10318300,9.03E-04,4.22E-04,II,0.140203263
73630,10319515,9.13E-04,4.08E-04,II,0.114016023
73638,10320273,8.87E-04,3.72E-04,II,0.111854162
73650,10321621,8.14E-04,3.95E-04,II,0.105873123
73656,10322859,7.30E-04,3.89E-04,II,0.106882523
73660,10323651,6.62E-04,3.83E-04,II,0.108975004
73666,10323927,6.06E-04,2.82E-04,II,0.104194311
73675,10325167,5.54E-04,2.54E-04,II,0.082147484
73679,10325528,5.14E-04,2.30E-04,II,0.087510377
73680,10325566,4.92E-04,2.30E-04,II,0.088904433
73685,10326262,3.17E-04,1.78E-04,II,0.044643698
73692,10328333,2.77E-04,1.41E-04,II,0.059467371
73699,10330131,2.34E-04,1.31E-04,II,0.06447822
73704,10330537,1.58E-04,4.69E-05,II,0.076398964
73704,10330537,1.58E-04,4.69E-05,II,0.076398964
73704,10330537,1.58E-04,4.52E-05,II,0.076944883
73707,10334681,1.44E-04,4.10E-05,II,0.082971794
73710,10334958,9.02E-05,1.99E-05,II,0.100437351
73710,10334958,9.02E-05,1.99E-05,II,0.100437351
73710,10334958,9.02E-05,1.99E-05,II,0.100437351
73710,10334958,9.02E-05,1.99E-05,II,0.100437351
73714,10335578,1.38E-05,6.70E-06,II,0.016041281
73721,10375374,6.76E-05,2.85E-05,II,0.087420511
73726,10376063,1.64E-04,5.04E-05,II,0.085068933
