isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,latitude,longitude,island,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb,fixed_substrate
No isotype,NA,C-3155,S-07416,Yes,Some (11-25),20.039908,-155.441503,Big Island,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg,Fruit
No isotype,NA,C-3189,S-07264,Yes,Some (11-25),20.039869,-155.441464,Big Island,Wild forest,Partially Obstructed,yes,3,A,1,21.6,68.5,85.7,21.9,653.640118,2017-08-17,14:50:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.thumb.jpg,Leaf litter
ECA760,ECA754,C-3189,S-07266,Yes,Some (11-25),20.039869,-155.441464,Big Island,Wild forest,Partially Obstructed,yes,3,A,1,21.6,68.5,85.7,21.9,653.640118,2017-08-17,14:50:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.thumb.jpg,Leaf litter
ECA812,ECA755,C-3189,S-07267,Yes,Some (11-25),20.039869,-155.441464,Big Island,Wild forest,Partially Obstructed,yes,3,A,1,21.6,68.5,85.7,21.9,653.640118,2017-08-17,14:50:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.thumb.jpg,Leaf litter
No isotype,NA,C-3189,S-07319,Yes,Some (11-25),20.039869,-155.441464,Big Island,Wild forest,Partially Obstructed,yes,3,A,1,21.6,68.5,85.7,21.9,653.640118,2017-08-17,14:50:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.thumb.jpg,Leaf litter
No isotype,NA,C-3193,S-07337,Yes,Few (4-10),20.039886,-155.441525,Big Island,Wild forest,Partially Obstructed,yes,3,E,1,19.5,64.5,76.6,24,651.7148289,2017-08-17,14:56:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3193.thumb.jpg,Leaf litter
No isotype,NA,C-3193,S-07338,Yes,Few (4-10),20.039886,-155.441525,Big Island,Wild forest,Partially Obstructed,yes,3,E,1,19.5,64.5,76.6,24,651.7148289,2017-08-17,14:56:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3193.thumb.jpg,Leaf litter
No isotype,NA,C-3193,S-07370,Yes,Few (4-10),20.039886,-155.441525,Big Island,Wild forest,Partially Obstructed,yes,3,E,1,19.5,64.5,76.6,24,651.7148289,2017-08-17,14:56:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3193.thumb.jpg,Leaf litter
No isotype,NA,C-3193,S-07371,Yes,Few (4-10),20.039886,-155.441525,Big Island,Wild forest,Partially Obstructed,yes,3,E,1,19.5,64.5,76.6,24,651.7148289,2017-08-17,14:56:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3193.thumb.jpg,Leaf litter
No isotype,NA,C-3197,S-07252,Yes,Some (11-25),20.039886,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,F,1,19.4,NA,76.5,23.3,651.980315,2017-08-17,14:57:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.thumb.jpg,Fruit
No isotype,NA,C-3197,S-07300,Yes,Some (11-25),20.039886,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,F,1,19.4,NA,76.5,23.3,651.980315,2017-08-17,14:57:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.thumb.jpg,Fruit
ECA760,ECA758,C-3197,S-07305,Yes,Some (11-25),20.039886,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,F,1,19.4,NA,76.5,23.3,651.980315,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.thumb.jpg,Fruit
ECA812,ECA759,C-3197,S-07306,Yes,Some (11-25),20.039886,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,F,1,19.4,NA,76.5,23.3,651.980315,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.thumb.jpg,Fruit
No isotype,NA,C-3197,S-07309,Yes,Some (11-25),20.039886,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,F,1,19.4,NA,76.5,23.3,651.980315,2017-08-17,14:57:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.thumb.jpg,Fruit
No isotype,NA,C-3201,S-07377,Yes,Proliferating (25+),20.039869,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit
ECA807,ECA770,C-3201,S-07378,Yes,Proliferating (25+),20.039869,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit
ECA812,ECA774,C-3201,S-07388,Yes,Proliferating (25+),20.039869,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit
No isotype,NA,C-3201,S-07389,Yes,Proliferating (25+),20.039869,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit
ECA812,ECA775,C-3201,S-07391,Yes,Proliferating (25+),20.039869,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit
ECA812,ECA776,C-3201,S-07392,Yes,Proliferating (25+),20.039869,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit
ECA807,ECA807,C-3201,S-07395,Yes,Proliferating (25+),20.039869,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit
