collection_category,fixed_substrate,isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,males_observed,latitude,longitude,island,substrate,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb
PCR -,Leaf litter,NA,NA,C-0275,S-05604,Yes,Few (4-10),no,22.081447,-159.426214,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,C,3,22.2,68.5,79.8,24.9,281.8470255,2017-08-09,11:45:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0275.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0281,S-05586,Yes,Very Few (1-3),yes,22.081308,-159.426189,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,A,0,21.8,69,78,24.9,283.2833333,2017-08-09,11:49:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0281.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0282,S-05607,Yes,Proliferating (25+),no,22.081308,-159.426189,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,D,1,22,69,79.5,24.9,283.666792,2017-08-09,11:48:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0282.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0282,S-05608,Yes,Proliferating (25+),no,22.081308,-159.426189,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,D,1,22,69,79.5,24.9,283.666792,2017-08-09,11:48:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0282.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0283,S-05219,Yes,Few (4-10),no,22.081319,-159.426267,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,C,2,22,70,80.5,25.6,284.374359,2017-08-09,11:47:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0283.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0283,S-05224,Yes,Few (4-10),no,22.081319,-159.426267,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,C,2,22,70,80.5,25.6,284.374359,2017-08-09,11:47:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0283.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0284,S-05195,Yes,Some (11-25),no,22.081356,-159.426164,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,C,1,21.7,70,79.8,24.9,283.8963415,2017-08-09,11:46:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0284.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0284,S-05196,Yes,Some (11-25),no,22.081356,-159.426164,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,C,1,21.7,70,79.8,24.9,283.8963415,2017-08-09,11:46:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0284.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0285,S-05595,Yes,Some (11-25),no,22.081478,-159.426103,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,B,3,22.1,69,76.1,25.6,286.7062147,2017-08-09,11:44:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0285.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0285,S-05598,Yes,Some (11-25),no,22.081478,-159.426103,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,B,3,22.1,69,76.1,25.6,286.7062147,2017-08-09,11:44:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0285.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0286,S-05220,Yes,Some (11-25),yes,22.081408,-159.42615,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,B,2,22.1,66,76.9,25.6,289.3157163,2017-08-09,11:45:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0286.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0286,S-05221,Yes,Some (11-25),yes,22.081408,-159.42615,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,B,2,22.1,66,76.9,25.6,289.3157163,2017-08-09,11:45:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0286.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0287,S-07493,Yes,Few (4-10),no,22.081397,-159.426083,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,A,2,22.1,67,76.1,26.3,287.0356234,2017-08-09,11:43:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0287.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0287,S-07495,Yes,Few (4-10),no,22.081397,-159.426083,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,A,2,22.1,67,76.1,26.3,287.0356234,2017-08-09,11:43:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0287.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0287,S-07500,Yes,Few (4-10),no,22.081397,-159.426083,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,A,2,22.1,67,76.1,26.3,287.0356234,2017-08-09,11:43:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0287.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0289,S-05671,Yes,Very Few (1-3),no,22.081461,-159.426097,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,F,1,21.8,64,77.1,24.9,277.7304965,2017-08-09,11:41:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0289.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0290,S-05560,Yes,Few (4-10),no,22.081394,-159.426297,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,E,2,22.1,67.5,77.4,24.9,280.7883212,2017-08-09,11:40:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0290.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0290,S-05564,Yes,Few (4-10),no,22.081394,-159.426297,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,E,2,22.1,67.5,77.4,24.9,280.7883212,2017-08-09,11:40:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0290.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0292,S-05227,Yes,Some (11-25),no,22.081628,-159.426011,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,E,1,22.5,64,77.5,24.9,275.1689189,2017-08-09,11:29:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0292.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0292,S-05228,Yes,Some (11-25),no,22.081628,-159.426011,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,E,1,22.5,64,77.5,24.9,275.1689189,2017-08-09,11:29:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0292.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0293,S-07464,Yes,Few (4-10),no,22.081589,-159.426014,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,F,2,22.8,62,78.2,24.9,276.9055118,2017-08-09,11:28:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0293.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0297,S-05602,Yes,Very Few (1-3),no,22.081622,-159.425942,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,A,3,22.5,67.5,80.1,24.9,271.4771574,2017-08-09,11:25:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0297.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0298,S-05549,Yes,Few (4-10),no,22.081633,-159.425944,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,F,3,22.4,60,81.4,24.9,275.2277228,2017-08-09,11:27:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0298.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0300,S-05233,Yes,Some (11-25),no,22.081642,-159.426031,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,B,1,22.9,68.5,78,25.2,279.5676101,2017-08-09,11:34:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0300.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0300,S-05562,Yes,Some (11-25),no,22.081642,-159.426031,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,B,1,22.9,68.5,78,25.2,279.5676101,2017-08-09,11:34:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0300.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0331,S-06527,Yes,Very Few (1-3),no,20.949444,-156.535461,Maui,Leaf litter,Wild forest,Partially Obstructed,yes,13,E,3,21.3,57,88.8,23.6,425.0687023,2017-08-13,15:41:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0331.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0406,S-05805,Yes,Proliferating (25+),no,22.131269,-159.660294,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,10,A,3,18.7,67.5,62.2,24,1159.721649,2017-08-10,11:14:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0406.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0406,S-05806,Yes,Proliferating (25+),no,22.131269,-159.660294,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,10,A,3,18.7,67.5,62.2,24,1159.721649,2017-08-10,11:14:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0406.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0520,S-05255,Yes,Very Few (1-3),no,22.131492,-159.660439,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,6,C,3,17,29.5,71.1,19.5,1153.620253,2017-08-08,09:00:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0520.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0523,S-05363,Yes,Very Few (1-3),no,22.131497,-159.660464,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,6,F,2,17.7,51.5,76,19.7,1157.310811,2017-08-08,08:57:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0523.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0523,S-05364,Yes,Very Few (1-3),no,22.131497,-159.660464,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,6,F,2,17.7,51.5,76,19.7,1157.310811,2017-08-08,08:57:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0523.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0562,S-06510,Yes,Few (4-10),no,21.138145,-156.965772,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,20,A,0,23.7,67.5,65.7,27.4,766,2017-08-12,12:17:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0562.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0616,S-05807,Yes,Proliferating (25+),no,21.96537236,-159.6143508,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,10,E,1,20.1,52.5,60.5,23.3,1158.028409,2017-08-10,11:25:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0616.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0616,S-05809,Yes,Proliferating (25+),no,21.96537236,-159.6143508,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,10,E,1,20.1,52.5,60.5,23.3,1158.028409,2017-08-10,11:25:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0616.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0617,S-05692,Yes,Proliferating (25+),no,21.96537236,-159.6143508,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,10,C,1,18.5,39,64.3,23.3,1158.028409,2017-08-10,11:20:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0617.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0617,S-05942,Yes,Proliferating (25+),no,21.96537236,-159.6143508,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,10,C,1,18.5,39,64.3,23.3,1158.028409,2017-08-10,11:20:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0617.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0617,S-05943,Yes,Proliferating (25+),no,21.96537236,-159.6143508,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,10,C,1,18.5,39,64.3,23.3,1158.028409,2017-08-10,11:20:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0617.thumb.jpg
PCR -,Fruit/nut/veg,NA,NA,C-0622,S-06446,Yes,Very Few (1-3),no,21.138017,-156.965847,Molokai,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,20,E,3,21.3,58,67.2,25.3,756.7776316,2017-08-12,12:30:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0622.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0624,S-06460,Yes,Some (11-25),no,21.177158,-157.005439,Molokai,Leaf litter,Wild forest,Obstructed,yes,18,F,1,21.3,36.5,89.7,21.5,507.6340852,2017-08-12,08:49:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0624.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0624,S-06461,Yes,Some (11-25),no,21.177158,-157.005439,Molokai,Leaf litter,Wild forest,Obstructed,yes,18,F,1,21.3,36.5,89.7,21.5,507.6340852,2017-08-12,08:49:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0624.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0627,S-06495,Yes,Very Few (1-3),no,21.176986,-157.005517,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,D,1,23.1,66,86.3,22.2,488.7848837,2017-08-12,08:44:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0627.thumb.jpg
PCR -,Fruit/nut/veg,NA,NA,C-0632,S-06486,Yes,Some (11-25),no,21.175719,-157.008247,Molokai,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,19,A,2,21.9,67,89.6,22.6,497.7321429,2017-08-12,09:32:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0632.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0639,S-06511,Yes,Very Few (1-3),no,21.175619,-157.008375,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,19,E,1,21.6,63,80.6,24,501.5228758,2017-08-12,09:43:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0639.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0640,S-06512,Yes,Very Few (1-3),no,21.175638,-157.008266,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,19,F,2,21.3,68,84.8,23.3,491,2017-08-12,09:45:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0640.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0645,S-06482,Yes,Some (11-25),no,21.177225,-157.005756,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,B,1,21.4,51,85.9,22.2,536.5702479,2017-08-12,08:40:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0645.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0645,S-06483,Yes,Some (11-25),no,21.177225,-157.005756,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,B,1,21.4,51,85.9,22.2,536.5702479,2017-08-12,08:40:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0645.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0651,S-05502,Yes,Very Few (1-3),no,22.131517,-159.660483,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,6,B,3,18.5,67,76.3,19.88888888888889,1170.595745,2017-08-08,09:02:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0651.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0653,S-05347,Yes,Very Few (1-3),no,22.131581,-159.660472,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,6,B,2,17.2,65.5,75.4,19.88888888888889,1169.733032,2017-08-08,09:04:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0653.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0658,S-05434,Yes,Some (11-25),no,22.131444,-159.660425,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,6,E,3,16.7,51.5,78.4,19.166666666666668,1170.800305,2017-08-08,08:57:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0658.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0659,S-05488,Yes,Very Few (1-3),no,22.131481,-159.660469,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,6,A,0,15.8,57,76,19.88888888888889,1170.909677,2017-08-08,08:52:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0659.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0696,S-05187,Yes,Few (4-10),no,22.071294,-159.417508,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,7,C,3,24.5,67.5,72.7,28.8,158.13,2017-08-09,10:52:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0696.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0696,S-05189,Yes,Few (4-10),no,22.071294,-159.417508,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,7,C,3,24.5,67.5,72.7,28.8,158.13,2017-08-09,10:52:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0696.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0698,S-05644,Yes,Very Few (1-3),no,22.071367,-159.417506,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,7,C,1,24.1,68,72,27.4,157.8187135,2017-08-09,10:53:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0698.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0727,S-05353,Yes,Very Few (1-3),no,22.131478,-159.660425,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,6,F,1,16.4,55,78.4,19.166666666666668,1170.479452,2017-08-08,08:56:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0727.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0750,S-06743,Yes,Very Few (1-3),no,20.87057,-156.17982,Maui,Leaf litter,Wild forest,Partially Obstructed,yes,15,A,0,23.3,66,73.2,26.3,205,2017-08-15,15:10:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0750.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0756,S-06441,Yes,Some (11-25),yes,21.175615,-157.008211,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,19,A,3,21.8,64,89.6,22.6,491,2017-08-12,09:32:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0756.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0756,S-06442,Yes,Some (11-25),yes,21.175615,-157.008211,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,19,A,3,21.8,64,89.6,22.6,491,2017-08-12,09:32:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0756.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0759,S-06499,Yes,Few (4-10),no,21.1770063,-157.0053879,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,B,3,20.4,66.5,85.9,22.2,489,2017-08-12,08:39:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0759.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0759,S-06500,Yes,Few (4-10),no,21.1770063,-157.0053879,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,B,3,20.4,66.5,85.9,22.2,489,2017-08-12,08:39:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0759.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0762,S-05646,Yes,Few (4-10),no,21.177108,-157.005667,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,C,2,20.9,67,87.3,22.2,502.1644737,2017-08-12,08:41:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0762.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0762,S-05652,Yes,Few (4-10),no,21.177108,-157.005667,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,C,2,20.9,67,87.3,22.2,502.1644737,2017-08-12,08:41:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0762.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0764,S-06478,Yes,Very Few (1-3),no,21.177017,-157.005458,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,E,3,21.5,62,86.3,21.5,498,2017-08-12,08:47:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0764.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0770,S-06488,Yes,Few (4-10),no,21.177047,-157.005414,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,E,2,21.7,60.5,86.3,21.5,490.8519313,2017-08-12,08:47:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0770.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0771,S-06451,Yes,Very Few (1-3),no,21.175636,-157.008215,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,19,C,2,21.1,64.5,89.4,22.6,491,2017-08-12,09:37:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0771.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0772,S-06469,Yes,Few (4-10),no,21.151286,-156.998814,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,A,2,21.6,65.5,79.6,23.3,530.6057692,2017-08-12,08:36:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0772.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0772,S-06473,Yes,Few (4-10),no,21.151286,-156.998814,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,18,A,2,21.6,65.5,79.6,23.3,530.6057692,2017-08-12,08:36:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0772.thumb.jpg
PCR -,Fruit/nut/veg,NA,NA,C-0775,S-06464,Yes,Very Few (1-3),no,21.175608,-157.008133,Molokai,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,19,D,2,21.2,62.8,89.2,22.6,491,2017-08-12,09:40:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0775.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0779,S-06449,Yes,Very Few (1-3),no,21.175639,-157.008233,Molokai,Leaf litter,Wild forest,Partially Obstructed,yes,19,B,2,21.7,52,92.6,21.9,491,2017-08-12,09:35:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0779.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0782,S-05609,Yes,Some (11-25),no,22.081678,-159.426006,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,B,3,22.1,67,75.6,25.6,282.3812155,2017-08-09,11:33:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0782.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0782,S-05610,Yes,Some (11-25),no,22.081678,-159.426006,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,B,3,22.1,67,75.6,25.6,282.3812155,2017-08-09,11:33:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0782.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0787,S-05643,Yes,Very Few (1-3),no,22.081661,-159.425983,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,B,2,22.1,66,77.8,24.9,279.1784387,2017-08-09,11:34:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0787.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0787,S-05648,Yes,Very Few (1-3),no,22.081661,-159.425983,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,B,2,22.1,66,77.8,24.9,279.1784387,2017-08-09,11:34:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0787.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0788,S-05198,Yes,Some (11-25),no,22.081647,-159.426003,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,A,2,21.7,67,80.5,24.9,276.6506024,2017-08-09,11:26:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0788.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0788,S-05199,Yes,Some (11-25),no,22.081647,-159.426003,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,A,2,21.7,67,80.5,24.9,276.6506024,2017-08-09,11:26:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0788.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0792,S-07519,Yes,Some (11-25),no,22.081633,-159.425992,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,F,1,22,65,81.4,24.9,272.6217617,2017-08-09,11:27:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0792.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0796,S-07507,Yes,Few (4-10),no,22.081611,-159.425942,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,E,2,21.5,64,81,24.9,271.1724138,2017-08-09,11:30:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0796.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0796,S-07508,Yes,Few (4-10),no,22.081611,-159.425942,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,E,2,21.5,64,81,24.9,271.1724138,2017-08-09,11:30:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0796.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0812,S-05358,Yes,Very Few (1-3),no,22.149092,-159.641442,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,5,A,3,18.3,43.5,71.1,21.2,1250.342593,2017-08-08,09:55:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0812.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0912,S-06707,Yes,Few (4-10),no,20.874467,-156.1857636,Maui,Leaf litter,Wild forest,Partially Obstructed,yes,15,C,2,22.1,66,75.6,25.6,223,2017-08-15,15:29:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0912.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0912,S-06718,Yes,Few (4-10),no,20.874467,-156.1857636,Maui,Leaf litter,Wild forest,Partially Obstructed,yes,15,C,2,22.1,66,75.6,25.6,223,2017-08-15,15:29:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0912.thumb.jpg
